SD: Rabbit MQ vs. Kafka 	Rabbit:<br>- can’t rewind<br>- push to consumers<br>- no batching<br>- better for single messages<br>- worse for scale<br>- different topology
Prob: Games WL-algorithm	isWinning(x):<br><br>true if any reachable pos x is !isWinning(x)<br><br>else false
Prob: game of Nim (def, win)	several piles, can take any number from one pile<br><br>lose if empty<br><br>winning pos if <b>XOR</b> of pile size is != 0
Graph: longest path from vertex in weighted graph<br>+ DAG	NP-hard for general graph<br>naive Bruteforce E!<br><br>linear for DAG: toposort, then loop<br>O(V + E)
Array: subarray sum (max, shortest >= k, max no more than k)	- max: Kadane O(n)<br><br>- sliding window O(n) or monotonic stack<br><br>- max <= k: O(n log n) using <b>BST upper_bound</b>
Prob: submatrix problems:<br>largest square/cross, static RSQ, max rectangle sum	- largest square/cross: <b>pre-compute</b><br><br>- static RSQ: precompute<br><br>- max rectangle sum: <b>reduce</b> to n^2 * <b>1D Kadane</b> O(n)
Prob: reflex D<br>1. find max less than k (min/more)<br>2. Graph all paths<br>3. count s.t. = K	1. <b>BST</b> with upper/lower_bound<br>2. BF backtracking if possible, maybe TSP DP<br>3. count <= K - <= K - 1
DS: Fenwick tree (=Binary Index Tree)	store <b>cumulative sum/prefix sums</b><br><br>easier to code than SegmentTree<br><br>update: log(n)<br>compute: log(n)<br>build: O(n log n)?
Geo: horizontal/vertical line intersections	3 events: start/end of horiz, vertical<br><br>keep set of <b>active horiz lines</b> in <b>BST</b><br><br>for a vertical: <b>range search</b> in BST to find intersections
DS: Segment Tree	binary tree built on <b>top of integer array</b><br><br>solve the <b>dynamic Range Min/Max/Sum Query</b> with <b>Range Update Query</b><br><br>all in <b>O(log N)</b><br><br><b>3</b> types of trees: RMinQ/RMaxQ/RSumQ<br><br>built in O(n)
DS: Binary Indexed Tree (BIT, Fenwick)	from a <b>prefix sum table</b><br><b>dynamic query</b> and <b>update</b><br><br>Variants: with Point or Range query, with Point or Range update<br><br>Build: O(n), Queries: O(log n)
DS: Difference between Interval/Segment/Binary Index Tree	- Interval: from intervals, dynamic, find intersection with query interval<br><br>- Segment Tree: from int array, solve dynamic Range Min/Max/Sum with Range Update<br><br>- Binary Indexed Tree (=Fenwick): for array, solve dynamic Range Sum only, but simpler than Segment Tree
String: <b>Longest Repeated</b> Substring and <b>Longest Common</b> Substring (LCS) with <b>Suffix Tree</b>	- repeated: <b>deepest non-leaf</b> node of ST<br>O(n)<br><br>- common: build ST with 1 <b>terminal symbol</b> for <b>each</b> string<br>find <b>deepest non-leaf</b> with <b>both</b> ends in subtree<br>O(n)
SD primitives: 2 rate limiters (with 1 def)	- <b>leaky bucket</b>: <b>2</b> parameters (burst size=bucket size, rate)<br>><b>increment</b> counter when new request<br><b>decrement</b> counter at given rate<br>reject request if bucket full<br><br>- token bucket
SD: network addressing methods (routing schemes) (5)	<b>unicast</b><br><br><b>broadcast</b>: one-to-all, subnet generally<br><br><b>multicast</b>: like broadcast but subset<br><br><b>anycast</b>: to one of many with same IP address (closest), used by CDN<br><br><b>geocast</b>
Prob: stable matching problem (def, solution idea, complex)	= <b>stable marriage</b>problem<br><br>n men, n women<br>every one has <b>order of preference</b> over partners<br>marry such that there is not (1 man, 1 woman) who would rather be together<br><br>solution: <b>rounds</b> with <b>proposals/switches (deferred acceptance)</b> O(n^2)
Prob: assignment problem (def, solution, complex)	<b>maximum-weight matching</b> in weighted <b>bipartite</b> graph<br><br>matchs n agents and n tasks<br>can do any tasks but with diff cost<br><br>O(n^3) Hungarian algo on matrix
String: Z-algorithm (idea, complexity)	Z: <b>array</b> of length n<br>Z[i]: longest common prefix between S[0:] and S[i:]<br><br>can be computed in O(n)<br><br>can be used for pattern matching (O(n) P$S)
Graph: Detect cycle in a graph<br>(dir/undir, complex) (2)	1. <b>Colorized DFS</b> (directed or not): look for <b>back-edge</b><br>undirected: <b>ignore edge to parent</b><br>O(V + E).<br><br>2. <b>Undirected only</b>: <b>Union-Find</b>:<br><b>loop on edges</b>, UF on vertices O(E + V)
Graph: number of paths of length k, APSP of length k	- nb paths: <b>power</b> of <b>adjacency</b> matrix: <b>G^k</b><br><br>O(k n^3)<br><br>O(log k  n^3) with binary exponentiation<br><br>- APSP(k): G^k but with <b>min</b> operator<br>O(n^3 log k)
